ProductID,OrderQty,UnitPrice
863,3,22.794
863,21,20.8945
863,9,22.794
863,9,22.794
863,7,22.794
863,3,22.794
863,2,22.794
863,3,22.794
863,18,20.8945
863,6,22.794
863,12,22.0342
863,2,22.794
863,3,22.794
863,3,22.794
863,3,22.794
863,5,22.794
863,6,22.794
863,3,22.794
863,13,22.0342
863,5,22.794
863,3,22.794
863,3,22.794
863,6,22.794
863,9,22.794
863,6,22.794
863,6,22.794
863,6,22.794
863,44,17.0955
863,9,22.794
863,6,22.794
863,3,22.794
863,7,22.794
863,33,18.995
863,25,18.995
863,13,22.0342
863,12,22.0342
863,2,22.794
863,26,18.995
863,20,20.8945
863,6,22.794
863,19,20.8945
863,3,22.794
863,6,22.794
863,13,22.0342
863,6,22.794
863,14,22.0342
863,7,22.794
863,13,22.0342
863,6,22.794
863,6,22.794
863,9,22.794
863,6,22.794
863,7,22.794
863,11,22.0342
863,4,22.794
863,12,22.0342
863,8,22.794
863,6,22.794
863,6,22.794
863,4,22.794
863,3,22.794
863,6,22.794
863,11,22.0342
863,3,22.794
863,3,22.794
863,6,22.794
863,19,20.8945
863,10,22.794
863,3,22.794
863,3,22.794
863,3,22.794
863,10,22.794
863,7,22.794
863,6,24.6935
863,2,24.6935
863,5,24.6935
864,8,38.1
864,6,38.1
864,5,38.1
864,15,34.925
864,2,38.1
864,15,34.925
864,12,36.83
864,8,38.1
864,10,38.1
864,36,31.75
864,4,38.1
864,2,38.1
864,5,38.1
864,10,38.1
864,8,38.1
864,8,38.1
864,24,34.925
864,15,34.925
864,3,38.1
864,3,38.1
864,10,38.1
864,14,36.83
864,29,31.75
864,20,34.925
864,19,34.925
864,19,34.925
864,23,34.925
864,1,63.5
864,1,63.5
864,1,63.5
864,1,63.5
864,1,63.5
864,1,63.5
864,5,38.1
864,3,38.1
864,8,38.1
864,6,38.1
864,4,38.1
864,5,38.1
864,12,36.83
864,6,38.1
864,5,38.1
864,7,38.1
864,3,38.1
864,3,38.1
864,25,31.75
864,23,34.925
864,4,38.1
864,5,38.1
864,15,34.925
864,26,31.75
864,6,38.1
864,12,36.83
864,12,36.83
864,3,38.1
864,8,38.1
864,6,38.1
864,18,34.925
864,6,38.1
864,4,38.1
864,3,38.1
864,3,38.1
864,2,38.1
864,4,38.1
864,32,31.75
864,8,38.1
864,4,38.1
